iter	Passed	Remaining
0	934	92538
1	1496	73316
2	1912	61848
3	2364	56746
4	2955	56151
5	3391	53130
6	3859	51277
7	4524	52033
8	4917	49720
9	5286	47580
10	5633	45577
11	6021	44155
12	6391	42775
13	6745	41438
14	7251	41089
15	7669	40262
16	8434	41182
17	8945	40751
18	9607	40958
19	9980	39923
20	10315	38806
21	10674	37844
22	11046	36982
23	11554	36589
24	12172	36516
25	12565	35764
26	12990	35122
27	13337	34296
28	13825	33849
29	14264	33282
30	15413	34307
31	15891	33769
32	16289	33072
33	16630	32283
34	17418	32348
35	17913	31845
36	18248	31071
37	18580	30316
38	18991	29705
39	19339	29008
40	19697	28345
41	20148	27824
42	20684	27419
43	21055	26797
44	21440	26205
45	21904	25713
46	22212	25048
47	22509	24385
48	22797	23728
49	23107	23107
50	23493	22572
51	24191	22330
52	24484	21712
53	24780	21109
54	25142	20571
55	25527	20057
56	25876	19521
57	26373	19098
58	26845	18655
59	27166	18110
60	27478	17568
61	27807	17043
62	28120	16515
63	28641	16110
64	29176	15710
65	29575	15236
66	29930	14741
67	30288	14253
68	30601	13748
69	30941	13260
70	31281	12776
71	31736	12341
72	32235	11922
73	32554	11438
74	32841	10947
75	33159	10471
76	33451	9992
77	33739	9516
78	34037	9047
79	34333	8583
80	34623	8121
81	34922	7665
82	35226	7214
83	35520	6765
84	35822	6321
85	36113	5878
86	36402	5439
87	36701	5004
88	36993	4572
89	37337	4148
90	37782	3736
91	38116	3314
92	38443	2893
93	38760	2474
94	39104	2058
95	39430	1642
96	39736	1228
97	40143	819
98	40533	409
99	40908	0
